"Freq [GHz]","im(Z(1,1)) []"
0.2,-1251.10642370178
0.204,-1225.81247824871
0.208,-1201.4759654866
0.212,-1178.04265521405
0.216,-1155.46233349315
0.22,-1133.68843752877
0.224,-1112.67772966779
0.228,-1092.39000571405
0.232,-1072.78783341754
0.236,-1053.83631755771
0.24,-1035.50288851839
0.244,-1017.75711165844
0.248,-1000.57051513035
0.252,-983.916434096913
0.256,-967.769869552435
0.26,-952.10736017579
0.264,-936.906865833041
0.268,-922.147661512549
0.272,-907.810240618659
0.276,-893.876226674499
0.28,-880.328292593016
0.284,-867.150086770064
0.288,-854.326165336288
0.292,-841.841929977256
0.296,-829.683570795077
0.3,-817.838013740995
0.304,-806.292872197933
0.308,-795.036402335723
0.312,-784.057461900442
0.316,-773.345472133571
0.32,-762.890382547109
0.324,-752.682638307844
0.328,-742.713150008027
0.332,-732.973265621203
0.336,-723.454744461095
0.34,-714.149732978576
0.344,-705.050742247128
0.348,-696.150627000928
0.352,-687.442566102047
0.356,-678.920044324369
0.36,-670.576835351814
0.364,-662.406985897457
0.368,-654.404800858254
0.372,-646.564829427419
0.376,-638.881852093157
0.38,-631.350868458419
0.384,-623.96708582182
0.388,-616.725908464789
0.392,-609.622927594517
0.396,-602.653911896303
0.4,-595.814798652673
0.404,-589.101685389961
0.408,-582.510822016172
0.412,-576.038603416727
0.416,-569.681562477274
0.42,-563.436363505091
0.424,-557.299796022758
0.428,-551.268768909741
0.432,-545.340304869344
0.436,-539.51153520012
0.44,-533.779694852376
0.444,-528.14211775179
0.448,-522.59623237343
0.452,-517.139557550694
0.456,-511.7696985047
0.46,-506.48434308075
0.464,-501.281258179343
0.468,-496.158286370101
0.472,-491.113342677762
0.476,-486.144411530112
0.48,-481.249543858414
0.484,-476.426854341496
0.488,-471.67451878527
0.492,-466.99077162997
0.496,-462.373903577884
0.5,-457.822259334848
0.504,-453.33423545917
0.508,-448.908278312065
0.512,-444.542882104049
0.516,-440.236587032076
0.52,-435.987977502539
0.524,-431.795680435543
0.528,-427.658363646133
0.532,-423.574734298433
0.536,-419.543537428882
0.54,-415.563554534975
0.544,-411.633602226154
0.548,-407.752530933649
0.552,-403.919223676301
0.556,-400.132594879523
0.56,-396.391589244756
0.564,-392.695180666905
0.568,-389.042371197391
0.572,-385.432190050583
0.576,-381.863692651494
0.58,-378.33595972276
0.584,-374.848096409001
0.588,-371.399231436798
0.592,-367.988516308586
0.596,-364.615124528876
0.6,-361.27825086129
0.604,-357.977110614989
0.608,-354.71093895912
0.612,-351.478990264022
0.616,-348.280537467951
0.62,-345.114871468181
0.624,-341.981300535386
0.628,-338.879149750259
0.632,-335.807760461382
0.636,-332.766489763407
0.64,-329.75470999467
0.644,-326.771808253368
0.648,-323.81718593152
0.652,-320.890258265929
0.656,-317.990453905426
0.66,-315.117214493703
0.664,-312.269994267065
0.668,-309.448259666494
0.672,-306.65148896341
0.676,-303.879171898561
0.68,-301.130809333513
0.684,-298.405912914206
0.688,-295.704004746094
0.692,-293.024617080393
0.696,-290.367292010993
0.7,-287.731581181598
0.704,-285.117045502699
0.708,-282.52325487797
0.712,-279.949787939739
0.716,-277.39623179315
0.72,-274.862181768704
0.724,-272.34724118283
0.728,-269.851021106194
0.732,-267.373140139432
0.736,-264.91322419604
0.74,-262.470906292136
0.744,-260.045826342836
0.748,-257.637630965006
0.752,-255.24597328613
0.756,-252.870512759095
0.76,-250.510914982643
0.764,-248.16685152731
0.768,-245.837999766625
0.772,-243.5240427134
0.776,-241.224668860912
0.78,-238.939572028806
0.784,-236.668451213545
0.788,-234.411010443259
0.792,-232.166958636814
0.796,-229.936009466974
0.8,-227.717881227504
0.804,-225.51229670407
0.808,-223.318983048818
0.812,-221.137671658493
0.816,-218.968098055988
0.82,-216.810001775194
0.824,-214.663126249054
0.828,-212.527218700697
0.832,-210.402030037567
0.836,-208.287314748432
0.84,-206.182830803192
0.844,-204.088339555382
0.848,-202.003605647294
0.852,-199.928396917628
0.856,-197.862484311592
0.86,-195.805641793378
0.864,-193.757646260933
0.868,-191.718277462958
0.872,-189.687317918074
0.876,-187.664552836075
0.88,-185.649770041213
0.884,-183.642759897464
0.888,-181.643315235701
0.892,-179.651231282729
0.896,-177.666305592132
0.9,-175.688337976873
0.904,-173.717130443608
0.908,-171.752487128659
0.912,-169.794214235618
0.916,-167.842119974518
0.92,-165.896014502557
0.924,-163.955709866311
0.928,-162.021019945428
0.932,-160.091760397746
0.936,-158.167748605822
0.94,-156.24880362482
0.944,-154.334746131761
0.948,-152.425398376076
0.952,-150.520584131462
0.956,-148.620128649004
0.96,-146.72385861155
0.964,-144.831602089317
0.968,-142.943188496707
0.972,-141.058448550325
0.976,-139.177214228175
0.98,-137.299318730036
0.984,-135.424596438983
0.988,-133.552882884079
0.992,-131.684014704193
0.996,-129.817829612966
1,-127.954166364912
1.004,-126.092864722644
1.008,-124.233765425245
1.012,-122.37671015776
1.016,-120.521541521836
1.02,-118.668103007496
1.024,-116.816238966074
1.028,-114.965794584303
1.032,-113.116615859572
1.036,-111.268549576377
1.04,-109.421443283963
1.044,-107.57514527519
1.048,-105.729504566637
1.052,-103.884370879963
1.056,-102.039594624557
1.06,-100.195026881504
1.064,-98.3505193888856
1.068,-96.5059245284636
1.072,-94.6610953137737
1.076,-92.8158853796659
1.08,-90.9701489733378
1.084,-89.1237409469025
1.088,-87.2765167515392
1.092,-85.428332433277
1.096,-83.5790446304681
1.1,-81.7285105730064
1.104,-79.8765880833542
1.108,-78.0231355794435
1.112,-76.1680120795209
1.116,-74.3110772090118
1.12,-72.4521912094798
1.124,-70.5912149497683
1.128,-68.7280099394114
1.132,-66.8624383444057
1.136,-64.9943630054445
1.14,-63.1236474587174
1.144,-61.2501559593864
1.148,-59.3737535078536
1.152,-57.494305878945
1.156,-55.6116796541378
1.16,-53.7257422569708
1.164,-51.8363619917764
1.168,-49.9434080858929
1.172,-48.0467507355087
1.176,-46.1462611553124
1.18,-44.241811632121
1.184,-42.3332755826751
1.188,-40.4205276157934
1.192,-38.5034435990937
1.196,-36.581900730496
1.2,-34.6557776147312
1.204,-32.7249543450992
1.208,-30.7893125907207
1.212,-28.8487356895471
1.216,-26.9031087474057
1.22,-24.9523187433661
1.224,-22.9962546417334
1.228,-21.0348075109851
1.232,-19.067870649986
1.236,-17.0953397218283
1.24,-15.1171128956687
1.244,-13.1330909969396
1.248,-11.1431776663429
1.252,-9.14727952804284
1.256,-7.14530636750352
1.26,-5.13717131942752
1.264,-3.12279106628512
1.268,-1.10208604793235
1.272,0.925019317146767
1.276,2.95859639842644
1.28,4.99871210717331
1.284,7.04542863692866
1.288,9.09880319000403
1.292,11.1588876893398
1.296,13.2257284750346
1.3,15.2993659848331
1.304,17.3798344178302
1.308,19.467161380608
1.312,21.5613675150044
1.316,23.6624661066679
1.32,25.7704626735249
1.324,27.8853545332525
1.328,30.0071303488099
1.332,32.1357696510511
1.336,34.2712423374024
1.34,36.4135081455551
1.344,38.5625161010797
1.348,40.7182039378419
1.352,42.8804974900543
1.356,45.0493100547665
1.36,47.2245417235557
1.364,49.4060786821503
1.368,51.5937924766789
1.372,53.7875392452065
1.376,55.9871589131832
1.38,58.1924743514114
1.384,60.4032904950966
1.388,62.6193934225319
1.392,64.8405493919409
1.396,67.0665038349884
1.4,69.2969803054525
1.404,71.5316793815507
1.408,73.7702775204042
1.412,76.0124258631359
1.416,78.2577489891142
1.42,80.5058436178702
1.424,82.756277257254
1.428,85.0085867964497
1.432,87.2622770425123
1.436,89.5168191991732
1.44,91.7716492867502
1.444,94.0261665021014
1.448,96.2797315176954
1.452,98.5316647190164
1.456,100.781244379698
1.46,103.027704773985
1.464,105.270234226352
1.468,107.507973098357
1.472,109.740011713141
1.476,111.965388218282
1.48,114.183086388113
1.484,116.392033367039
1.488,118.59109735585
1.492,120.77908524356
1.496,122.954740187869
1.5,125.116739148027
1.504,127.26369037453
1.508,129.394130860893
1.512,131.506523763597
1.516,133.599255797197
1.52,135.670634612624
1.524,137.718886167784
1.528,139.742152100744
1.532,141.738487117068
1.536,143.705856404229
1.54,145.642133087482
1.544,147.545095743162
1.548,149.412425987004
1.552,151.241706156847
1.556,153.030417110948
1.56,154.775936165049
1.564,156.475535193386
1.568,158.126378920933
1.572,159.725523436335
1.576,161.26991495723
1.58,162.756388881923
1.584,164.181669163675
1.588,165.54236804614
1.592,166.834986200775
1.596,168.055913309238
1.6,169.201429135898
1.604,170.267705137567
1.608,171.250806659363
1.612,172.146695767184
1.616,172.951234768548
1.62,173.660190474503
1.624,174.269239255841
1.628,174.773972946882
1.632,175.169905649581
1.636,175.452481489561
1.64,175.617083373808
1.644,175.659042797062
1.648,175.573650740407
1.652,175.356169700987
1.656,175.001846886243
1.66,174.505928599288
1.664,173.863675834217
1.668,173.070381090931
1.672,172.121386408716
1.676,171.012102606007
1.68,169.738029700804
1.684,168.294778471858
1.688,166.678093105232
1.692,164.883874854135
1.696,162.908206622245
1.7,160.747378362192
1.704,158.397913161584
1.708,155.85659386939
1.712,153.120490095622
1.716,150.186985397715
1.72,147.053804447884
1.724,143.719039957672
1.728,140.181179119068
1.732,136.439129306723
1.736,132.492242773073
1.74,128.340340058267
1.744,123.983731830156
1.748,119.423238866421
1.752,114.660209891957
1.756,109.696536989965
1.76,104.534668315131
1.764,99.1776178522082
1.768,93.6289719830102
1.772,87.8928926496654
1.776,81.9741169314097
1.78,75.8779528864107
1.784,69.6102715483223
1.788,63.1774950093401
1.792,56.5865805664799
1.796,49.8450009552737
1.8,42.9607207438596
1.804,35.942169010026
1.808,28.7982084728252
1.812,21.5381012981486
1.816,14.1714718431837
1.82,6.70826664668434
1.824,-0.841287989892461
1.828,-8.46673045255203
1.832,-16.1574098911004
1.836,-23.9025334956616
1.84,-31.6912145332253
1.844,-39.5125206969583
1.848,-47.3555223208907
1.852,-55.2093400197075
1.856,-63.0631913269949
1.86,-70.9064359255757
1.864,-78.7286190895808
1.868,-86.5195129889597
1.872,-94.2691555429913
1.876,-101.967886548291
1.88,-109.606380848974
1.884,-117.175678360072
1.888,-124.66721080002
1.892,-132.072825032536
1.896,-139.38480296197
1.9,-146.595877968358
1.904,-153.699247908354
1.908,-160.688584745331
1.912,-167.558040905726
1.916,-174.302252488962
1.92,-180.916339484406
1.924,-187.395903171272
1.928,-193.737020895248
1.932,-199.936238429919
1.936,-205.990560140985
1.94,-211.897437177822
1.944,-217.65475391964
1.948,-223.260812903206
1.952,-228.71431845587
1.956,-234.014359251728
1.96,-239.160390000847
1.964,-244.152212471535
1.968,-248.98995603439
1.972,-253.674057904259
1.976,-258.205243242962
1.98,-262.584505271724
1.984,-266.813085528059
1.988,-270.892454387675
1.992,-274.824291957871
1.996,-278.610469435175
2,-282.253031006801
